"","sender","recver","value","nodelab2","nodelab1"
"82",72,2209,6.76,"smifs capital markets ltd","alok industries ltd"
"83",74,75,11.54,"alpic pharma pvt ltd","alpic finance ltd"
"84",74,636,1.96,"finpin leasing finance ltd","alpic finance ltd"
"85",74,784,11.53,"hamsons laboratories pvt ltd","alpic finance ltd"
"86",74,1096,1.57,"ketai investment pvt ltd","alpic finance ltd"
"87",74,1384,2.75,"montague holdings pvt ltd","alpic finance ltd"
"88",74,1629,11.54,"param pharma pvt ltd","alpic finance ltd"
"89",74,1972,11.54,"saga chemicals pvt ltd","alpic finance ltd"
"90",74,1984,2.84,"sairam papers pvt ltd","alpic finance ltd"
"91",76,200,5,"atul ltd","amal ltd"
"92",76,624,3.03,"fairgrowth financial services ltd","amal ltd"
"93",78,420,7.15,"chintan navnit parikh","amani trading exports ltd"
"94",78,2130,28.87,"shefali chintan parikh","amani trading exports ltd"
"95",81,1276,4.62,"makan investments trading company ltd","amforge industries ltd"
"96",84,66,1.41,"alka india ltd","amit securities ltd"
"97",84,166,1.41,"ascent leasing finance pvt ltd","amit securities ltd"
"98",84,255,1.41,"barasia holding trading co. ltd","amit securities ltd"
"99",84,400,1.41,"chair finance investments pvt ltd","amit securities ltd"
"100",84,638,1.41,"flag vittawas ltd","amit securities ltd"
"101",84,1275,1.41,"majjarrsha housing finance ltd","amit securities ltd"
"102",84,1843,1.41,"rashel agrotech ltd","amit securities ltd"
"103",84,1974,1.41,"sagar housing development finance pvt ltd","amit securities ltd"
"104",84,2097,1.41,"shalimar agro products ltd","amit securities ltd"
"105",84,2265,1.41,"spider impex pvt ltd","amit securities ltd"
"106",92,916,79.14,"industrial investment trust ltd","anand electric supply co. ltd"
"107",96,542,61.55,"duncans industries ltd","andhra cements ltd"
"108",96,1541,3.53,"nrc ltd","andhra cements ltd"
"109",96,2295,14.11,"star paper mills ltd","andhra cements ltd"
"110",96,2312,1.22,"stone india ltd","andhra cements ltd"
"111",97,98,10.8,"andhra pradesh industrial development corporation ltd","andhra petrochemicals ltd"
"112",100,93,1.5,"anandmangal investment finance pvt ltd","anik industries ltd"
"113",100,141,7.2,"arandi investment pvt ltd","anik industries ltd"
"114",100,1256,2.63,"mahakosh papers pvt ltd","anik industries ltd"
"115",100,1740,4.31,"promise securities pvt ltd","anik industries ltd"
"116",100,1909,1.76,"ruchi infrastructure ltd","anik industries ltd"
"117",100,1910,2.39,"ruchi soya industries ltd","anik industries ltd"
"118",100,2030,3.47,"sarthak global ltd","anik industries ltd"
"119",100,2664,1.5,"vishal warehousing pvt ltd","anik industries ltd"
"120",102,1429,3.62,"nagarjuna finance ltd","anil chemicals inds. ltd"
"121",102,2479,1.81,"thakral investments india ltd","anil chemicals inds. ltd"
"122",105,80,1.28,"ameeta goyal","anil modi oil inds. ltd"
"123",105,324,5.94,"bishan dass goyal","anil modi oil inds. ltd"
"124",105,1648,1.05,"pawan sut merchants ltd","anil modi oil inds. ltd"
"125",105,2006,1.16,"sangeeta goyal","anil modi oil inds. ltd"
"126",105,2222,1.78,"sohan lal goyal","anil modi oil inds. ltd"
"127",105,2282,6.51,"sri ram goyal","anil modi oil inds. ltd"
"128",105,2388,2.69,"sushil kumar goel","anil modi oil inds. ltd"
"129",105,2537,1.37,"uma goyal","anil modi oil inds. ltd"
"130",113,166,3.94,"ascent leasing finance pvt ltd","anjani finance ltd"
"131",113,400,4.44,"chair finance investments pvt ltd","anjani finance ltd"
"132",113,638,4.44,"flag vittawas ltd","anjani finance ltd"
"133",116,1028,11.86,"jyoti cosmetics (exim) ltd","ankush finstock ltd"
"134",116,1258,1.83,"mahan industries ltd","ankush finstock ltd"
"135",118,889,50.6,"indian aluminium co. ltd","annapurna foils ltd [merged]"
"136",121,1341,3.61,"mega resources ltd","ansal properties infrastructure ltd"
"137",121,2672,2.92,"vls finance ltd","ansal properties infrastructure ltd"
"138",124,123,8.33,"anshul n mehta","anshuni commercials ltd"
"139",124,292,8.73,"bharti n mehta","anshuni commercials ltd"
"140",124,295,6.06,"bhavini n mehta","anshuni commercials ltd"
"141",124,694,5.75,"gelid communication net media pvt ltd","anshuni commercials ltd"
"142",124,695,4.67,"gelid net promotion ent pvt ltd","anshuni commercials ltd"
"143",124,696,3.92,"gelid trading marketing pvt ltd","anshuni commercials ltd"
"144",124,899,5.04,"indiashoppingmall.com pvt ltd","anshuni commercials ltd"
"145",124,1234,2.47,"madhu n shah","anshuni commercials ltd"
"146",124,1475,2.09,"navin c shah","anshuni commercials ltd"
"147",124,1526,16.85,"nitin k mehta","anshuni commercials ltd"
"148",124,1759,7.42,"purvi b mehta","anshuni commercials ltd"
"149",125,787,1.84,"har sai investments ltd","antarctica ltd"
"150",125,939,1.61,"ironwill holdings pvt ltd","antarctica ltd"
"151",125,968,2.05,"jaiprakash enterprises ltd","antarctica ltd"
"152",125,991,23.13,"jaypee ventures ltd","antarctica ltd"
"153",125,1076,1.87,"karman consultants pvt ltd","antarctica ltd"
"154",125,1321,1.21,"matchless investments ltd","antarctica ltd"
"155",134,38,1.46,"aeonian investments co ltd","apcotex industries ltd"
"156",134,199,2.23,"atul c choksey","apcotex industries ltd"
"157",134,524,8.86,"dhumraketu investments trading company ltd","apcotex industries ltd"
"158",134,1741,2.63,"propycon trading investments pvt ltd","apcotex industries ltd"
"159",134,1779,1.25,"r tulsidas agroproducts pvt ltd","apcotex industries ltd"
"160",136,375,1.33,"camelot enterprises pvt ltd","aplab ltd"
"161",136,2260,1.69,"spenta agro industries pvt ltd","aplab ltd"
"162",136,2261,1.15,"spenta leasing investment pvt ltd","aplab ltd"
"163",140,137,6.29,"apollo finance ltd","apollo tyres ltd"
"164",140,139,4.83,"apollo international ltd","apollo tyres ltd"
"165",140,447,7.83,"constructive finance pvt ltd","apollo tyres ltd"
"166",140,1022,3.53,"juhi investment company pvt ltd","apollo tyres ltd"
"167",140,1490,4.96,"neeraj consultants ltd","apollo tyres ltd"
"168",140,2322,1.19,"sudarshan shares stocks pvt ltd","apollo tyres ltd"
"169",140,2362,4.88,"sunrays properties investment company pvt ltd","apollo tyres ltd"
"170",145,1343,1,"mellow investments pvt ltd","ardi investments trading co. ltd"
"171",145,2210,10.5,"smilax trade investments pvt ltd","ardi investments trading co. ltd"
"172",145,2573,5,"usual investments trade pvt ltd","ardi investments trading co. ltd"
"173",147,178,8.71,"ashok kumar jain","arihant capital markets ltd"
"174",147,2108,14.91,"shanta jain","arihant capital markets ltd"
"175",147,2358,3.35,"sunil kumar jain","arihant capital markets ltd"
"176",150,172,2.55,"ashirwad capital ltd","arlem breweries ltd [merged]"
"177",150,426,4,"chowgule co ltd","arlem breweries ltd [merged]"
"178",150,2634,5.36,"vijay vishwasrao chowgule","arlem breweries ltd [merged]"
"179",152,959,3.17,"jacqart chemical inds. ltd","aroni chemical inds. ltd"
"180",152,2023,14.79,"saraswati commercial (india) ltd","aroni chemical inds. ltd"
"181",152,2714,15.03,"winro commercial (india) ltd","aroni chemical inds. ltd"
"182",153,21,1.02,"abbey finexim pvt ltd","artillegence bio-innovations ltd"
"183",153,62,1.34,"alavel finvest pvt ltd","artillegence bio-innovations ltd"
"184",153,258,2.38,"bay inland finance pvt ltd","artillegence bio-innovations ltd"
"185",153,293,1.32,"bhaskar fund management ltd","artillegence bio-innovations ltd"
"186",153,412,2.43,"charishma engineering ltd","artillegence bio-innovations ltd"
"187",153,445,2,"conrad telefilms ltd","artillegence bio-innovations ltd"
"188",153,613,1.01,"exim scrips pvt ltd","artillegence bio-innovations ltd"
"189",153,729,2.9,"graceful properties ltd","artillegence bio-innovations ltd"
"190",153,1118,2.61,"kirti electro system pvt ltd","artillegence bio-innovations ltd"
"191",153,1160,3.53,"laffan software ltd","artillegence bio-innovations ltd"
"192",153,1351,2.01,"michael merchandise pvt ltd","artillegence bio-innovations ltd"
"193",153,1431,3.22,"nageshwar investment ltd","artillegence bio-innovations ltd"
"194",153,1833,3.01,"ramkrishna fincap ltd","artillegence bio-innovations ltd"
"195",153,2227,2.11,"solex finexim pvt ltd","artillegence bio-innovations ltd"
"196",153,2243,3.06,"sophia exports ltd","artillegence bio-innovations ltd"
"197",153,2363,2.91,"super finance ltd","artillegence bio-innovations ltd"
"198",153,2593,3.52,"vallantine finexim pvt ltd","artillegence bio-innovations ltd"
"199",153,2649,3.48,"vindhyachal securities ltd","artillegence bio-innovations ltd"
"200",159,130,5,"anupama bajoria","arvind chemicals ltd"
"201",159,158,7.31,"arvind bajoria","arvind chemicals ltd"
"202",159,160,7.67,"arvind financial services pvt ltd","arvind chemicals ltd"
"203",159,529,4.97,"dinesh chandra bajoria","arvind chemicals ltd"
"204",159,626,6.5,"fast capital growth ltd","arvind chemicals ltd"
"205",159,627,18.15,"fast capital securities ltd","arvind chemicals ltd"
"206",159,1070,5,"kanta bajoria","arvind chemicals ltd"
"207",159,1829,9.13,"ramesh chandra bajoria","arvind chemicals ltd"
"208",159,1844,1.26,"rashmi bajoria","arvind chemicals ltd"
"209",159,1986,1.86,"sakal holdings pvt ltd","arvind chemicals ltd"
"210",159,2116,4.99,"sharda bajoria","arvind chemicals ltd"
"211",159,2213,3.5,"smriti bajoria","arvind chemicals ltd"
"212",159,2405,3.34,"sweta bajoria","arvind chemicals ltd"
"213",161,158,4.17,"arvind bajoria","arvind international ltd"
"214",161,159,9.65,"arvind chemicals ltd","arvind international ltd"
"215",161,160,1.05,"arvind financial services pvt ltd","arvind international ltd"
"216",161,1377,2.46,"mona jagatramka","arvind international ltd"
"217",161,1986,4.68,"sakal holdings pvt ltd","arvind international ltd"
"218",161,2116,2.36,"sharda bajoria","arvind international ltd"
"219",161,2405,2.6,"sweta bajoria","arvind international ltd"
"220",164,336,1.77,"bluemoon securities pvt ltd","asahi india glass ltd"
"221",164,1312,12,"maruti udyog ltd","asahi india glass ltd"
"222",167,91,5.68,"anand capital services pvt ltd","asean industrial structures ltd"
"223",167,458,3.98,"crystal management services pvt ltd","asean industrial structures ltd"
"224",167,1422,5,"n t vaishnav","asean industrial structures ltd"
"225",170,83,2.91,"amit mahajan","ashiana ispat ltd"
"226",170,108,1.38,"anita mahajan","ashiana ispat ltd"
"227",170,624,1.85,"fairgrowth financial services ltd","ashiana ispat ltd"
"228",170,1159,4.71,"laeding leasing finance investment company ltd","ashiana ispat ltd"
"229",170,1403,1.01,"munish mahajan","ashiana ispat ltd"
"230",170,1462,1.22,"narinder mahajan","ashiana ispat ltd"
"231",170,1722,1.07,"pride properties pvt ltd","ashiana ispat ltd"
"232",170,1753,24.08,"punjab state industrial development corporation ltd","ashiana ispat ltd"
"233",170,1766,3.55,"r c mahajan","ashiana ispat ltd"
"234",170,2007,2.57,"sangeeta mahajan","ashiana ispat ltd"
"235",170,2334,1.71,"suman mahajan","ashiana ispat ltd"
"236",170,2384,2.6,"surinder mahajan","ashiana ispat ltd"
"237",170,2746,3.36,"zoom mercantile finance ltd","ashiana ispat ltd"
"238",172,173,15,"ashirwad shelters ltd","ashirwad capital ltd"
"239",172,530,4.12,"dinesh kumar poddar","ashirwad capital ltd"
"240",172,532,2.19,"dinesh rajesh brothers","ashirwad capital ltd"
"241",172,639,9.85,"flamour finance securities ltd","ashirwad capital ltd"
"242",172,999,1.48,"jeevan finvest pvt ltd","ashirwad capital ltd"
"243",172,1828,1.01,"ramdevi poddar","ashirwad capital ltd"
"244",172,1877,2,"rhea poddar","ashirwad capital ltd"
"245",172,2056,1.43,"sawini finvest pvt ltd","ashirwad capital ltd"
"246",172,2136,9.78,"shilpa d poddar","ashirwad capital ltd"
"247",172,2645,31.23,"vinayaka fincorp ltd","ashirwad capital ltd"
"248",172,2647,6.8,"vinayaka real estate developers ltd","ashirwad capital ltd"
"249",180,175,2.32,"ashley holdings ltd","ashok leyland finance ltd [merged]"
"250",180,176,2.38,"ashley investments ltd","ashok leyland finance ltd [merged]"
"251",180,179,45.09,"ashok leyland finance ltd","ashok leyland finance ltd [merged]"
"252",184,290,7.09,"bharat tatia","ashram online.com ltd"
"253",184,368,3.75,"c k jain","ashram online.com ltd"
"254",184,1145,2.51,"kuber finstock pvt ltd","ashram online.com ltd"
"255",184,1342,2.75,"mega securities pvt ltd","ashram online.com ltd"
"256",184,1858,1.35,"reliance capital ltd","ashram online.com ltd"
"257",184,1860,5.25,"reliance entr ltd","ashram online.com ltd"
"258",184,1943,11.16,"s p jain","ashram online.com ltd"
"259",186,2433,22.94,"tamilnadu industrial development corporation ltd","asian bearing ltd"
"260",189,187,1.11,"asian ele-tech services pvt ltd","asian electronics ltd"
"261",189,188,1.89,"asian electronics components ltd","asian electronics ltd"
"262",189,341,1.14,"boi finance ltd","asian electronics ltd"
"263",189,2075,26.53,"shah investments financials developments consultants ltd","asian electronics ltd"
"264",189,2530,1.61,"u s instruments pvt ltd","asian electronics ltd"
"265",189,2571,8.06,"usha s shah","asian electronics ltd"
"266",191,832,1.82,"hinduja finance corporation ltd","asian tea exports ltd"
"267",191,1446,3.71,"nama ratna kumari","asian tea exports ltd"
"268",191,1932,5.18,"s karunakar","asian tea exports ltd"
"269",191,1933,5.44,"s kishore","asian tea exports ltd"
"270",191,1949,1.92,"s padma","asian tea exports ltd"
"271",191,1956,16.78,"s saraswathi","asian tea exports ltd"
"272",191,1957,2.72,"s sharmila","asian tea exports ltd"
"273",191,2026,16.51,"saripalli dali mruthyan jaya rao","asian tea exports ltd"
"274",191,2440,1.06,"tanneru aruna lumari","asian tea exports ltd"
"275",194,17,3.42,"aasia management consultancy ltd","astrazeneca pharma india ltd"
"276",194,834,2,"hinduja tmt ltd","astrazeneca pharma india ltd"
"277",196,986,4.97,"jaya hind sciaky ltd","athena financial services ltd"
"278",196,1108,38.36,"kinetic engineering ltd","athena financial services ltd"
"279",200,20,1.58,"aayojan investments ltd","atul ltd"
"280",200,24,4.37,"abundance investments ltd","atul ltd"
"281",200,30,3.21,"active investments ltd","atul ltd"
"282",200,37,3.04,"aeon investments ltd","atul ltd"
"283",200,42,1.78,"agri more ltd","atul ltd"
"284",200,46,4.63,"ajax investments ltd","atul ltd"
"285",200,128,4.32,"anubhav investments ltd","atul ltd"
"286",200,192,3.9,"asman investments ltd","atul ltd"
"287",200,209,3.17,"avishkar finance trade pvt ltd","atul ltd"
"288",200,1584,2.4,"osia enterprises ltd","atul ltd"
"289",202,234,3.51,"bajaj auto ltd","austin engineering co. ltd"
"290",202,624,1.26,"fairgrowth financial services ltd","austin engineering co. ltd"
"291",202,1651,1.22,"peerless general finance investment company ltd","austin engineering co. ltd"
"292",203,341,1.36,"boi finance ltd","auto pins (india) ltd"
"293",203,399,7.19,"cfl capital financial services ltd","auto pins (india) ltd"
"294",203,832,14.81,"hinduja finance corporation ltd","auto pins (india) ltd"
"295",203,2069,2.26,"securex financial services ltd","auto pins (india) ltd"
"296",203,2250,2.75,"southern india depository services pvt ltd","auto pins (india) ltd"
"297",204,2448,10,"tata engineering locomotive company ltd","automobile corpn. of goa ltd"
"298",204,2452,1.92,"tata international ltd","automobile corpn. of goa ltd"
"299",204,2455,10,"tata motors ltd","automobile corpn. of goa ltd"
"300",205,280,13.57,"bhalchandra investment ltd","automotive axles ltd"
"301",205,402,3.14,"chakrapushpa investment finance ltd","automotive axles ltd"
"302",205,973,2.38,"jalakumbhi investment finance ltd","automotive axles ltd"
"303",205,1056,14.94,"kalyani utilities development pvt ltd","automotive axles ltd"
"304",205,1566,3.14,"optimates finvest pvt ltd","automotive axles ltd"
"305",205,2296,1.49,"starflower investment finance ltd","automotive axles ltd"
"306",206,14,1.74,"a to z securities ltd","automotive stampings assemblies ltd"
"307",206,120,2.02,"ans holding pvt ltd","automotive stampings assemblies ltd"
"308",206,2450,30.01,"tata industries ltd","automotive stampings assemblies ltd"
"309",207,1522,2.81,"niskalp investments trading company ltd","avaya globalconnect ltd"
"310",207,2444,2.46,"tata chemicals ltd","avaya globalconnect ltd"
"311",207,2450,9.54,"tata industries ltd","avaya globalconnect ltd"
"312",207,2453,1.07,"tata investment corpn. ltd","avaya globalconnect ltd"
"313",207,2456,8.69,"tata power co. ltd","avaya globalconnect ltd"
"314",208,2549,10.2,"united breweries ltd","aventis pharma ltd"
"315",210,219,1,"azad finance trading investment ltd","aviva industries ltd"
"316",210,230,3.25,"bacil pharma ltd","aviva industries ltd"
"317",210,281,2,"bhanumati m vora","aviva industries ltd"
"318",210,693,2.4,"gaytri bohra","aviva industries ltd"
"319",210,1080,1.56,"kashyap m vora","aviva industries ltd"
"320",210,1102,1.2,"khem-sum apparels overseas ltd","aviva industries ltd"
"321",210,1267,2.02,"mahendra p vora","aviva industries ltd"
"322",210,1269,1.26,"mahesh p vora","aviva industries ltd"
"323",210,1271,6.19,"mahesh vora","aviva industries ltd"
"324",210,1400,1.62,"mukesh p vora","aviva industries ltd"
"325",210,1710,1.54,"prema m vora","aviva industries ltd"
"326",210,1718,2.4,"premlata bohra","aviva industries ltd"
"327",210,1756,1.6,"purshottam bohra","aviva industries ltd"
"328",210,1757,8.21,"purshottam r bohra","aviva industries ltd"
"329",210,1832,2.4,"rameshwarlal bohra","aviva industries ltd"
"330",210,2110,2.4,"shanti devi bohra","aviva industries ltd"
"331",212,274,1.79,"bhagyanagar metals ltd","avon organics ltd"
"332",212,1373,1.75,"mohair investments trading company pvt ltd","avon organics ltd"
"333",214,582,1.12,"enam securities pvt ltd","axis-i t t ltd"
"334",214,1854,2.31,"reema business services pvt ltd","axis-i t t ltd"
"335",216,341,1.55,"boi finance ltd","axtel industries ltd"
"336",216,1673,2.13,"pnb capital services ltd","axtel industries ltd"
"337",221,1599,1.81,"p ravindra reddy","b 2 b software technologies ltd"
"338",221,1601,2.7,"p srinivas reddy","b 2 b software technologies ltd"
"339",221,1849,13.75,"ravileela granites ltd","b 2 b software technologies ltd"
"340",222,200,1.94,"atul ltd","b a s f india ltd"
"341",223,213,2.52,"axiom project consultants pvt ltd","b f utilities ltd"
"342",223,401,4.38,"chakrapani investment trades ltd","b f utilities ltd"
"343",223,439,1.67,"cockscomb investment finance pvt ltd","b f utilities ltd"
"344",223,708,4.77,"gladiola investments pvt ltd","b f utilities ltd"
"345",223,978,1.18,"jannhavi investment pvt ltd","b f utilities ltd"
"346",223,1133,1.62,"koyana investment trading company","b f utilities ltd"
"347",223,1140,4.16,"kritadnya management trading services pvt ltd","b f utilities ltd"
"348",223,1144,1.41,"ktms engineering pvt ltd","b f utilities ltd"
"349",223,1566,1.93,"optimates finvest pvt ltd","b f utilities ltd"
"350",223,1969,1.71,"sadguru investment trading company","b f utilities ltd"
"351",223,2094,1.05,"shailendra investment trading company","b f utilities ltd"
"352",223,2322,1.06,"sudarshan shares stocks pvt ltd","b f utilities ltd"
"353",223,2373,4.34,"surajmukhi investment finance ltd","b f utilities ltd"
"354",224,339,6.38,"bnk securities pvt ltd","b n k capital markets ltd"
"355",224,1719,5.58,"pressman advertising marketing ltd","b n k capital markets ltd"
"356",224,1720,3.05,"pressman ltd","b n k capital markets ltd"
"357",225,1566,1.62,"optimates finvest pvt ltd","b p b india gypsym ltd"
"358",226,287,2.97,"bharat investments growth ltd","b s l ltd"
"359",226,1199,2.11,"lnj financial services ltd","b s l ltd"
"360",226,1529,8.35,"nivedan vanijya niyojan ltd","b s l ltd"
"361",226,1760,1.58,"purvi vanijya niyojan ltd","b s l ltd"
"362",226,1786,2.41,"raghav commercial ltd","b s l ltd"
"363",226,2209,6.4,"smifs capital markets ltd","b s l ltd"
"364",226,2707,3.65,"western projects ltd","b s l ltd"
"365",230,765,5.33,"gulecha investment trading company pvt ltd","bacil pharma ltd"
"366",230,979,3.92,"jasoi investment trading company pvt ltd","bacil pharma ltd"
"367",230,1100,3.92,"khambhat investment trading company pvt ltd","bacil pharma ltd"
"368",230,1102,5.91,"khem-sum apparels overseas ltd","bacil pharma ltd"
"369",230,1515,12.31,"nippon denro ispat ltd","bacil pharma ltd"
"370",230,1842,5.26,"rapport investment trading company pvt ltd","bacil pharma ltd"
"371",230,2624,12.31,"videocon leasing industrial finance ltd","bacil pharma ltd"
"372",231,1674,1.63,"pnc capital trust ltd","baid leasing finance co. ltd"
"373",232,233,17.69,"bajaj auto holdings ltd","bajaj auto finance ltd"
"374",232,234,28.46,"bajaj auto ltd","bajaj auto finance ltd"
"375",232,974,1.73,"jamnalal sons ltd","bajaj auto finance ltd"
"376",232,1262,6.21,"maharashtra scooters ltd","bajaj auto finance ltd"
"377",232,2393,1.82,"suvijay exports ltd","bajaj auto finance ltd"
"378",234,229,1.76,"bachraj company ltd","bajaj auto ltd"
"379",234,237,2,"bajaj sevashram ltd","bajaj auto ltd"
"380",234,974,12.11,"jamnalal sons ltd","bajaj auto ltd"
"381",234,985,6.18,"jaya hind investments pvt ltd","bajaj auto ltd"
"382",234,1262,3.36,"maharashtra scooters ltd","bajaj auto ltd"
"383",234,1790,2.14,"rahul bajaj","bajaj auto ltd"
"384",234,2139,1.05,"shishir bajaj","bajaj auto ltd"
"385",234,2186,1.79,"sikkim janseva pratisthan pvt ltd","bajaj auto ltd"
"386",235,94,1.97,"anant bajaj","bajaj electricals ltd"
"387",235,228,1.84,"bachhraj factories ltd","bajaj electricals ltd"
"388",235,234,19.9,"bajaj auto ltd","bajaj electricals ltd"
"389",235,974,1.03,"jamnalal sons ltd","bajaj electricals ltd"
"390",235,1151,1.09,"kumud bajaj","bajaj electricals ltd"
"391",235,1238,2.69,"madhur bajaj","bajaj electricals ltd"
"392",235,1516,2.12,"niraj bajaj","bajaj electricals ltd"
"393",235,1792,4.83,"rahulkumar bajaj","bajaj electricals ltd"
"394",235,2132,3.99,"shekhar bajaj","bajaj electricals ltd"
"395",235,2139,4.34,"shishir bajaj","bajaj electricals ltd"
"396",236,229,34.58,"bachraj company ltd","bajaj hindusthan ltd"
"397",236,234,9.38,"bajaj auto ltd","bajaj hindusthan ltd"
"398",236,1262,1.44,"maharashtra scooters ltd","bajaj hindusthan ltd"
"399",238,1146,24.2,"kuberkamal industrial investment ltd","bajrang finance ltd"
"400",238,1867,4,"remi finance investments pvt ltd","bajrang finance ltd"
